"Tidsstempel","god og informativ video","dejlig natur","ja, danmark er god nok dejlig","Er det bare mig eller er det altid lidt den samme dejlig rolig stemme i de her dokumentarer?","Jo xD","Enig, den passer rigtig godt til dokumentaren","Kunne høre på ham hele tiden","helt vildt hvor flot naturen er her hjemme i danmark.","ja, tror jeg skal ud og gå en tur efter jeg er færdig her.","Også mig","Jeg synes det er en rigtig fin video","jeg elsker at se dokumentarer som den her","det er en meget spændende dokumentar","ja tænk engang hvad danmark har at byde på","meget spændende at høre omkring hvad den danske skov har at byde på","Elsker at kunne sidde og se tv, og føle at man bliver oplyst imens.","Så rart enig. Det føles godt","helt enig","Gid alle undervisningsgange var sådan her. Herligt","ja, det kunne man godt vænne sig til.","nogen der ved hvornår dokumentaren er fra?","jeg tror den er fra 2019.","er du sikker?","Synes jeg så at den var fra 2020","Nej, jeg er slet ikke sikker","Har i lyd på videoen?","Ja","ja","nå.. Jeg kan ikke hører noget. ","De snakker over videoen ikke?","yup","vidste i at man se dokumentaren på dr1s hjemmeside?","nej, det er godt at vide.","er den gratis?","ja","nogen der ved hvor lang tid der er tilbage af videoen?","nej, tror der stod at at de var omkring en times tid i alt","ja, så der er nok lige lidt tilbage endnu","Sidder i sammen og ser dokumentaren eller alene?","Vores studiegruppe sidder sammen og ser den","jeg sidder selv","samme","hvorfor skal vi sidde her og se den her åndssvage dokumentar.","ja, hvis den så bare i det mindste var god.","synes i virkelig den er så dårlig?","ja","har du overvejet kvaliteten, det er godt nok skod.","hold da kæft hvor er det kedeligt.","ja, det er godt nok langtrukkent.","hvorfor skal dokumentarer altid være så kedelige?","Hørt.","hold da kæft hvor snakker han langsomt.","Ja, falder snart i søvn.","kan man mute ham?","tror jeg ikke.","Hvad tror i budgettet til sådan en dokumentar er? 1000 kr?","det ligner den er optaget med en iphone 4, så nok mindre end 1000 kr","Synes virkelig ikke at dokumentar med dyr er særlige sjove. faktisk direkte lort","Alt andet havde været bedre…. #!$","Tror jeg skrider fra det her","ahaha gør det. Du får heller ikke noget ud af det","Damn, overvejer også at smutte."
"2021/05/06 3:57:29 PM EET","2","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","1","1","2","3 (Meget positivt)","1","0 (Neutralt)","1","2","3 (Meget positivt)","2","1","3 (Meget positivt)","3 (Meget positivt)","1","3 (Meget positivt)","2","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-2","-3 (Meget negativt)","-1","0 (Neutralt)","-3 (Meget negativt)","-2","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-2","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-2","-2"
"2021/05/07 10:19:56 PM EET","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","0 (Neutralt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","-3 (Meget negativt)","0 (Neutralt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","0 (Neutralt)","3 (Meget positivt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","0 (Neutralt)","2","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","3 (Meget positivt)","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)"
"2021/05/08 6:03:40 PM EET","1","1","2","2","1","2","3 (Meget positivt)","3 (Meget positivt)","0 (Neutralt)","0 (Neutralt)","1","3 (Meget positivt)","2","2","1","3 (Meget positivt)","3 (Meget positivt)","0 (Neutralt)","3 (Meget positivt)","1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-2","1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-2","0 (Neutralt)","-3 (Meget negativt)","-1","-1","0 (Neutralt)","0 (Neutralt)","-1","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-1","-1"
"2021/05/08 10:18:41 PM EET","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","0 (Neutralt)","0 (Neutralt)","1","2","0 (Neutralt)","0 (Neutralt)","3 (Meget positivt)","2","3 (Meget positivt)","2","2","2","2","0 (Neutralt)","2","2","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","1","-1","0 (Neutralt)","-3 (Meget negativt)","0 (Neutralt)","1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-2","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-2","-3 (Meget negativt)","-3 (Meget negativt)","-2","-3 (Meget negativt)","0 (Neutralt)","-2"
"2021/05/08 10:23:14 PM EET","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","2","0 (Neutralt)","2","1","3 (Meget positivt)","0 (Neutralt)","0 (Neutralt)","2","3 (Meget positivt)","3 (Meget positivt)","2","2","3 (Meget positivt)","3 (Meget positivt)","1","3 (Meget positivt)","1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","1","-1","0 (Neutralt)","-3 (Meget negativt)","-2","1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-2","-2","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-2","-2","-3 (Meget negativt)","-2","-3 (Meget negativt)","-1","-2"
"2021/05/09 8:32:02 AM EET","2","3 (Meget positivt)","2","2","0 (Neutralt)","0 (Neutralt)","1","3 (Meget positivt)","0 (Neutralt)","0 (Neutralt)","2","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","2","2","2","0 (Neutralt)","2","1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-2","1","0 (Neutralt)","-3 (Meget negativt)","-2","-2","-2","0 (Neutralt)","-2","-2","-3 (Meget negativt)","0 (Neutralt)","-2","-3 (Meget negativt)","-3 (Meget negativt)","-1","-3 (Meget negativt)","-1","-2"
"2021/05/09 8:34:48 AM EET","2","1","1","2","0 (Neutralt)","1","1","2","0 (Neutralt)","0 (Neutralt)","2","1","2","1","2","2","2","0 (Neutralt)","2","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","-3 (Meget negativt)","-1","1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-2","-2","0 (Neutralt)","-2","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-1","-1","-3 (Meget negativt)","0 (Neutralt)","-3 (Meget negativt)","-1","-3 (Meget negativt)"
"2021/05/09 8:38:19 AM EET","3 (Meget positivt)","1","1","1","0 (Neutralt)","1","1","2","0 (Neutralt)","0 (Neutralt)","1","2","2","1","2","2","2","0 (Neutralt)","2","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-1","1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-2","-2","0 (Neutralt)","-2","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-1","-2","-3 (Meget negativt)","0 (Neutralt)","-3 (Meget negativt)","0 (Neutralt)","-2"
"2021/05/09 9:10:56 AM EET","3 (Meget positivt)","1","2","2","0 (Neutralt)","1","1","2","0 (Neutralt)","0 (Neutralt)","2","2","2","1","2","2","2","1","2","1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","1","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-1","1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-2","-2","-3 (Meget negativt)","0 (Neutralt)","-3 (Meget negativt)","-2","-2"
"2021/05/15 2:44:55 PM EET","2","2","2","3 (Meget positivt)","0 (Neutralt)","1","2","3 (Meget positivt)","0 (Neutralt)","0 (Neutralt)","2","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","3 (Meget positivt)","0 (Neutralt)","3 (Meget positivt)","1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","-1","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-1","0 (Neutralt)","-3 (Meget negativt)","-3 (Meget negativt)","-3 (Meget negativt)","-2","0 (Neutralt)","3 (Meget positivt)","-3 (Meget negativt)","-3 (Meget negativt)","0 (Neutralt)","-2","-3 (Meget negativt)","-3 (Meget negativt)","-2","-3 (Meget negativt)","-1","-3 (Meget negativt)"